slug,title,content
slug,title,content
slug,title,content
china-to-usa-cat,Bring a Cat from China to the USA (2026 Guide),"<p>Importing a cat from China in 2026 is relatively straightforward. <strong>Key requirements:</strong> You need an ISO-compliant 15-digit microchip and a valid rabies vaccination certificate. Most importantly, you must obtain an official <strong>Animal Health Certificate</strong> from the local Customs Bureau (Hai Guan) within 14 days of your flight. Cats do not require a rabies titer test or a CDC permit for US entry.</p>"
china-to-usa-dog,Bring a Dog from China to the USA (2026 Guide),"<p>Dogs from China are subject to strict CDC rules as China is classified as a high-risk country for rabies. <strong>For 2026 travel:</strong> Your dog must be at least 6 months old, have an ISO microchip, and you must apply for a <strong>CDC Dog Import Permit</strong> at least 6 weeks in advance. Alternatively, you can arrive via a CDC-approved animal care facility if you have a valid CDC Vaccination Reservation.</p>"
pet-travel-cost-usa,Cost to Bring a Pet to the USA (2026 Estimate),"<p>The total cost typically ranges from $1,000 to $4,500. <strong>Budget breakdown:</strong> <ul><li><strong>Airline Fees:</strong> $200-$400 for in-cabin (small pets); $1,500-$3,500 for manifest cargo.</li><li><strong>Vet & Documentation:</strong> $200-$600 for vaccinations and government endorsements.</li><li><strong>Travel Crate:</strong> $100-$300 for IATA-compliant crates.</li></ul> Prices vary significantly based on the pet's size and the flight distance.</p>"
japan-to-usa-cat,Bring a Cat from Japan to the USA (2026),"<p>Japan is recognized by the CDC as a <strong>rabies-free</strong> country, making the process much easier. Your cat will need an ISO microchip and an export health certificate issued by the <strong>Japan Animal Quarantine Service (AQS)</strong>. We recommend booking your AQS inspection at the airport at least 7 days before departure. No rabies titer test or US quarantine is required for cats from Japan.</p>"
japan-to-usa-dog,Bring a Dog from Japan to the USA (2026),"<p>Traveling with a dog from Japan is streamlined because Japan is a low-risk country. <strong>The Process:</strong> 1. Ensure an ISO microchip is implanted. 2. Obtain an export certificate from Japan's AQS. 3. Complete the <strong>'CDC Dog Import Form'</strong> online before arrival. Since Japan is rabies-free, you do not need a CDC Import Permit, but the dog must still be at least 6 months old to enter the USA.</p>"korea-to-usa-cat,Bring a Cat from South Korea to the USA,
korea-to-usa-dog,Bring a Dog from South Korea to the USA (2026 Guide),"<p>South Korea is a low-risk country for rabies. <strong>2026 Protocol:</strong> 1. Ensure your dog is at least 6 months old and has an ISO-compliant microchip. 2. Complete the mandatory <strong>CDC Dog Import Form</strong> online at least 2 days before flying. 3. Obtain an export health certificate from the <strong>Animal and Plant Quarantine Agency (QIA)</strong>. No CDC Import Permit or rabies titer test is required for dogs from South Korea.</p>"
singapore-to-usa-cat,Bring a Cat from Singapore to the USA (2026 Guide),"<p>Singapore is recognized as a <strong>rabies-free</strong> country by the CDC. The process is streamlined: your cat needs a 15-digit ISO microchip and an export health certificate issued by <strong>NParks (Animal & Veterinary Service)</strong>. While the US doesn't strictly mandate a rabies vaccine for cats from Singapore, most international airlines do, so ensure your cat's vaccinations are up to date for boarding.</p>"
singapore-to-usa-dog,Bring a Dog from Singapore to the USA (2026 Guide),"<p>Singapore is a low-risk country. <strong>Key requirements:</strong> Your dog must be at least 6 months old and microchipped with an ISO 11784/11785 chip. You must submit the online <strong>CDC Dog Import Form</strong> and provide a government-endorsed health certificate from NParks. Since Singapore is not on the high-risk list, a CDC Dog Import Permit is not needed for entry.</p>"
australia-to-usa-cat,Bring a Cat from Australia to the USA (2026 Guide),"<p>As Australia is rabies-free, cat import to the USA is very simple. You need an ISO microchip and an export permit issued by the <strong>Department of Agriculture, Fisheries and Forestry (DAFF)</strong>. A clinical exam by an official vet within 10 days of departure is required to confirm the cat is fit to fly. No US quarantine is required upon arrival.</p>"
australia-to-usa-dog,Bring a Dog from Australia to the USA (2026 Guide),"<p>Australia is a low-risk country for rabies. <strong>The 2026 Process:</strong> 1. Your dog must be 6 months old and microchipped. 2. Obtain an export health certificate endorsed by <strong>DAFF</strong>. 3. Submit the online <strong>CDC Dog Import Form</strong> before arrival. Because Australia is rabies-free, you do not need a CDC Dog Import Permit or a rabies titer test to enter the United States.</p>"
canada-to-usa-cat,Bring a Cat from Canada to the USA (2026 Guide),"<p>Importing a cat from Canada to the USA is highly streamlined. <strong>2026 Requirements:</strong> Your cat should be at least 12 weeks old and have a 15-digit ISO microchip. While the CDC does not strictly require a rabies vaccination certificate for cats from Canada, it is strongly recommended to carry one to satisfy airline requirements and ensure a smooth border crossing.</p>"
canada-to-usa-dog,Bring a Dog from Canada to the USA (2026 Guide),"<p>Canada is a low-risk country for rabies. <strong>Key steps:</strong> 1. Ensure your dog is at least 6 months old and has an ISO-compliant microchip. 2. You must complete the online <strong>CDC Dog Import Form</strong> at least 2 days before arrival. 3. Carry a valid rabies vaccination certificate. No CDC Dog Import Permit or rabies titer test is required for dogs coming from Canada.</p>"
uk-to-usa-cat,Bring a Cat from the UK to the USA (2026 Guide),"<p>The UK is recognized as a <strong>rabies-free</strong> country. To bring a cat to the USA, you need an ISO microchip and a <strong>Great Britain Export Health Certificate</strong> issued by an Official Veterinarian (OV). While the US doesn't strictly mandate a rabies vaccine for UK cats, most trans-atlantic airlines do. Ensure you book your vet inspection within 10 days of departure.</p>"
uk-to-usa-dog,Bring a Dog from the UK to the USA (2026 Guide),"<p>Dogs from the UK (Great Britain and Northern Ireland) are considered low-risk. <strong>The 2026 Process:</strong> 1. Your dog must be 6 months old and microchipped. 2. You must submit the online <strong>CDC Dog Import Form</strong> before travel. 3. Obtain a government-endorsed health certificate. No CDC Import Permit or titer test is needed as long as the dog has been in the UK for the last 6 months.</p>"
eu-to-usa-cat,Bring a Cat from the EU to the USA (2026 Guide),"<p>Traveling from the EU with a cat is efficient if you use the <strong>EU Pet Passport</strong>. Ensure your cat has an ISO microchip and a valid rabies vaccination recorded in the passport. You also need a clinical examination by a vet within 10 days of travel to certify the cat is fit to fly. No US quarantine is required for cats arriving from the EU.</p>"
eu-to-usa-dog,Bring a Dog from the EU to the USA (2026 Guide),"<p>Most EU countries are low-risk for rabies. <strong>Current Protocol:</strong> Your dog must be at least 6 months old and have a 15-digit microchip. You must complete the online <strong>CDC Dog Import Form</strong> and carry an EU Pet Passport or an Annex IV health certificate. If your dog was vaccinated in the EU, ensure the vaccine is still valid according to US standards.</p>"
mexico-to-usa-dog,Bring a Dog from Mexico to the USA (2026 Guide),"<p>As a neighboring low-risk country, Mexico follows the standard 2026 CDC entry rules. <strong>Requirements:</strong> 1. Dog must be 6 months old and microchipped. 2. Complete the online <strong>CDC Dog Import Form</strong>. 3
india-to-usa-cat,Bring a Cat from India to the USA (2026 Guide),"<p>Importing a cat from India requires careful documentation. <strong>2026 Requirements:</strong> Your cat must have an ISO-compliant microchip and a valid rabies vaccination certificate. You must obtain a <strong>No Objection Certificate (NOC)</strong> and an export health certificate from the Animal Quarantine and Certification Service (AQCS) in India within 10 days of travel. No US quarantine is required for cats from India.</p>"
india-to-usa-dog,Bring a Dog from India to the USA (2026 Guide),"<p><strong>High-Risk Alert:</strong> India is a high-risk rabies country. <strong>Mandatory for 2026:</strong> Your dog must be 6 months old and microchipped. You MUST apply for a <strong>CDC Dog Import Permit</strong> at least 6-8 weeks before travel. Arrival is restricted to specific US airports with CDC quarantine stations. A government-endorsed health certificate from India's AQCS is required for boarding.</p>"
