from_country,to_country,pet_type,title,summary,risk_level,prep_time,quarantine,min_age,microchip,rabies_vaccine,process_steps,required_documents,tips
china,usa,cat,Bring a Cat from China to the USA (2026 Guide),Professional 2026 guide for moving your cat from china to usa.,High-Risk,6 Months,None,6 Months,ISO 11784/85,Required,"Step: Importing a cat from China in 2026 is relatively straightforward|Step: Key requirements: You need an ISO-compliant 15-digit microchip and a valid rabies vaccination certificate|Step: Most importantly, you must obtain an official Animal Health Certificate from the local Customs Bureau (Hai Guan) within 14 days of your flight|Step: Cats do not require a rabies titer test or a CDC permit for US entry",Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
china,usa,dog,Bring a Dog from China to the USA (2026 Guide),Professional 2026 guide for moving your dog from china to usa.,High-Risk,6 Months,None,6 Months,ISO 11784/85,Required,"Step: Dogs from China are subject to strict CDC rules as China is classified as a high-risk country for rabies|Step: For 2026 travel: Your dog must be at least 6 months old, have an ISO microchip, and you must apply for a CDC Dog Import Permit at least 6 weeks in advance|Step: Alternatively, you can arrive via a CDC-approved animal care facility if you have a valid CDC Vaccination Reservation",Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
japan,usa,cat,Bring a Cat from Japan to the USA (2026),Professional 2026 guide for moving your cat from japan to usa.,High-Risk,6 Months,Required,6 Months,ISO 11784/85,Required,"Step: Japan is recognized by the CDC as a rabies-free country, making the process much easier|Step: Your cat will need an ISO microchip and an export health certificate issued by the Japan Animal Quarantine Service (AQS)|Step: We recommend booking your AQS inspection at the airport at least 7 days before departure|Step: No rabies titer test or US quarantine is required for cats from Japan",Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
japan,usa,dog,Bring a Dog from Japan to the USA (2026),Professional 2026 guide for moving your dog from japan to usa.,High-Risk,6 Months,None,6 Months,ISO 11784/85,Required,Step: Traveling with a dog from Japan is streamlined because Japan is a low-risk country|Step: The Process: 1|Step: Ensure an ISO microchip is implanted|Step: Obtain an export certificate from Japan's AQS|Step: Complete the 'CDC Dog Import Form' online before arrival,Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
korea,usa,cat,Bring a Cat from South Korea to the USA (2026),Professional 2026 guide for moving your cat from korea to usa.,High-Risk,6 Months,Required,6 Months,ISO 11784/85,Required,Step: Importing a cat from South Korea is efficient thanks to the Animal and Plant Quarantine Agency (QIA)|Step: 2026 Requirements: Your cat must have a 15-digit ISO microchip and a valid rabies vaccination certificate|Step: You must visit a QIA office (at Incheon Airport or local branches) to obtain an export health certificate before departure|Step: No US quarantine or CDC permit is required for cats,Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
korea,usa,dog,Bring a Dog from South Korea to the USA (2026),Professional 2026 guide for moving your dog from korea to usa.,High-Risk,6 Months,None,6 Months,ISO 11784/85,Required,Step: South Korea is a low-risk country for rabies|Step: Key steps: 1|Step: Ensure your dog is at least 6 months old and has an ISO microchip|Step: Complete the online CDC Dog Import Form at least 2 days before flying|Step: Obtain a QIA-endorsed export health certificate,Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
singapore,usa,cat,Bring a Cat from Singapore to the USA (2026),Professional 2026 guide for moving your cat from singapore to usa.,High-Risk,6 Months,None,6 Months,ISO 11784/85,Required,"Step: Singapore is recognized by the CDC as a rabies-free country|Step: The process is simple: your cat needs an ISO microchip and an export health certificate issued by NParks (Animal & Veterinary Service)|Step: While the US doesn't strictly require a rabies vaccine for cats from Singapore, it is highly recommended to avoid any issues with transiting countries or airlines",Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
singapore,usa,dog,Bring a Dog from Singapore to the USA (2026),Professional 2026 guide for moving your dog from singapore to usa.,High-Risk,6 Months,None,6 Months,ISO 11784/85,Required,"Step: Singapore is a low-risk/rabies-free country|Step: The 2026 Protocol: Your dog must be 6 months old and have a 15-digit microchip|Step: You must submit the CDC Dog Import Form online before arrival and provide a government-endorsed health certificate from NParks|Step: Since Singapore is not a high-risk country, a CDC Dog Import Permit is not required",Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
australia,usa,dog,Bring a Dog from Australia to the USA (2026 Guide),Professional 2026 guide for moving your dog from australia to usa.,High-Risk,6 Months,None,6 Months,ISO 11784/85,Required,Step: Australia is a low-risk country for rabies|Step: The 2026 Process: 1|Step: Your dog must be 6 months old and microchipped|Step: Obtain an export health certificate endorsed by DAFF|Step: Submit the online CDC Dog Import Form before arrival,Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
canada,usa,cat,Bring a Cat from Canada to the USA (2026),Professional 2026 guide for moving your cat from canada to usa.,High-Risk,6 Months,None,6 Months,ISO 11784/85,Required,"Step: Importing a cat from Canada is one of the easiest routes|Step: 2026 Update: While the CDC does not strictly require a rabies vaccination certificate for cats from Canada, it is highly recommended to carry one to avoid delays with airlines|Step: Ensure your cat has an ISO-compliant microchip for identification at the border",Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
canada,usa,dog,Bring a Dog from Canada to the USA (2026),Professional 2026 guide for moving your dog from canada to usa.,High-Risk,6 Months,None,6 Months,ISO 11784/85,Required,Step: Canada is a low-risk country for rabies|Step: Key steps: Your dog must be at least 6 months old and microchipped|Step: You must complete the CDC Dog Import Form online before crossing the border|Step: No rabies titer test or import permit is required for Canadian dogs entering the US,Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
uk,usa,cat,Bring a Cat from the UK to the USA (2026),Professional 2026 guide for moving your cat from uk to usa.,Standard,30 Days,None,6 Months,ISO 11784/85,Required,"Step: The UK is recognized as rabies-free|Step: To bring your cat to the USA, you need an ISO microchip and a UK Export Health Certificate issued by an official veterinarian (OV)|Step: Most cats travel in-cabin on approved airlines, but check specific trans-atlantic carrier rules regarding 'Pet in Cabin' vs 'Cargo'",Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
uk,usa,dog,Bring a Dog from the UK to the USA (2026),Professional 2026 guide for moving your dog from uk to usa.,High-Risk,6 Months,None,6 Months,ISO 11784/85,Required,"Step: Dogs from the UK (Great Britain and Northern Ireland) are low-risk|Step: Requirements: An ISO microchip, a UK government-endorsed health certificate, and the mandatory CDC Dog Import Form (submitted online)|Step: No CDC Import Permit is needed, and the dog must be at least 6 months old",Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
eu,usa,cat,Bring a Cat from the EU to the USA (2026),Professional 2026 guide for moving your cat from eu to usa.,Standard,30 Days,None,6 Months,ISO 11784/85,Required,Step: Traveling from the EU with a cat is streamlined if you have an EU Pet Passport|Step: Ensure the rabies vaccination is recorded and valid|Step: You will also need a clinical examination by a vet within 10 days of departure to confirm the cat is 'fit to fly' and free of infectious diseases,Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
eu,usa,dog,Bring a Dog from the EU to the USA (2026),Professional 2026 guide for moving your dog from eu to usa.,High-Risk,6 Months,None,6 Months,ISO 11784/85,Required,"Step: Most EU countries are low-risk for rabies|Step: 2026 Protocol: You need an ISO microchip, an EU Pet Passport with up-to-date vaccinations, and you must file the CDC Dog Import Form online|Step: Dogs must be 6 months of age|Step: Note: If traveling from certain Eastern European countries, check for additional CDC surveillance rules",Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
